estimator,phase,phase_name,t0_s,t1_s,duration_s,n,ate_rmse_m,ate_mean_m,ate_max_m,yaw_abs_mean_rad,yaw_abs_max_rad
wheel,1,square,0.0,102.846956735,102.846956735,2171,0.37561074259423116,0.2824832528204889,0.7042946392586583,0.09945608460720204,0.2720017707779614
wheel,2,straight,102.846956735,132.145400386,29.298443651,585,0.679409737165668,0.6596167507117613,0.9142044210389145,0.3306838196838152,0.39272037137807025
wheel,3,cw_rotation,132.145400386,173.28214725700002,41.136746871000014,816,0.9181796214481075,0.9181521158098387,0.9294205057098484,0.38770071577497806,0.4585727347527979
wheel,4,curve,173.28214725700002,202.786442305,29.50429504799999,581,0.7531663499110144,0.7486361324472295,0.9175156834133439,0.3342278125809391,0.4585052080139609
ekf,1,square,0.0,102.846956735,102.846956735,2171,0.374377565501152,0.2811590469919025,0.7048748168461008,0.06398857074985455,0.17358284514214306
ekf,2,straight,102.846956735,132.145400386,29.298443651,585,0.6835120046618511,0.6629300780540117,0.9239269154519686,0.2252505678215593,0.2856200677492322
ekf,3,cw_rotation,132.145400386,173.28214725700002,41.136746871000014,816,0.9283524812909758,0.9283237935737423,0.9399895371631333,0.22577075658833473,0.28571832114796525
ekf,4,curve,173.28214725700002,202.786442305,29.50429504799999,581,0.7671713795229039,0.7630262103520231,0.928012781204343,0.35700020627583134,0.44505614625563883
orb,1,square,0.0,102.846956735,102.846956735,2171,1.4990045152483369,1.1579570077881884,3.2145959788285956,0.5539110679283601,2.054259317369501
orb,2,straight,102.846956735,132.145400386,29.298443651,585,0.36555146641033837,0.3300694542154212,0.736378578594308,0.14873308190152065,0.4059795926069123
orb,3,cw_rotation,132.145400386,173.28214725700002,41.136746871000014,816,0.6254940396476559,0.6153321498791968,0.7390925217272445,0.9347384068287518,1.0926269925824204
orb,4,curve,173.28214725700002,202.786442305,29.50429504799999,581,1.1596942106462962,1.1197672272520967,1.518531444406956,0.5661160683322607,1.1602411163661381
